victim_load_pin	victim_load_min_arrival	victim_load_max_arrival	min_rise	max_rise	min_fall	max_fall	slew_max	status
ZCTSINV_497954_21676/A	0.037638	0.038883	0.037638	0.037638	0.038338	0.038883	0.030642	OK
ccd_setup_inst_30328/A	0.073160	0.089825	0.073799	0.089825	0.073160	0.076388	0.054718	OK
